Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E,BatAge,PA,AB,2B,3B,RBI,SB,CS,BA,OBP,SLG,OPS,TB,GDP,SH,SF
1925,16,207,29.1,5.13,4.33,2456,0.51,0.49,0.04,0.04,0.07,8.89,10.15,5.13,4.28,0.48,3.16,,2.72,0.2,0.01,0.14,39.19,,1.497,0.303,10.3,0.5,3.2,2.8,0.86,1.34,28.6,39.22,34.79,1.77,0.48,4.65,0.57,0.45,0.292,0.354,0.411,0.765,14.29,,1.04,
1924,16,218,28.3,4.75,4.05,2462,0.51,0.49,0.06,0.06,0.07,8.91,9.83,4.75,4.01,0.36,2.99,,2.69,0.22,0.02,0.14,38.73,,1.439,0.299,9.9,0.4,3,2.7,0.9,1.24,28.5,38.78,34.39,1.66,0.48,4.31,0.61,0.51,0.287,0.348,0.394,0.742,13.56,,1.1,
1923,16,206,28.3,4.81,3.99,2466,0.51,0.49,0.05,0.05,0.07,8.96,9.81,4.81,3.97,0.4,3.08,,2.84,0.25,0.02,0.14,39,,1.439,0.298,9.9,0.4,3.1,2.9,0.92,1.35,28.3,39.05,34.56,1.59,0.46,4.32,0.64,0.51,0.284,0.347,0.391,0.738,13.53,,1.11,
1922,16,207,27.7,4.86,4.06,2476,0.5,0.5,0.06,0.06,0.07,8.92,9.93,4.86,4.03,0.43,2.92,,2.8,0.25,0.02,0.15,38.84,,1.439,0.301,10,0.4,2.9,2.8,0.96,1.3,28.5,38.89,34.47,1.59,0.5,4.37,0.59,0.47,0.288,0.348,0.401,0.749,13.82,,1.19,
1921,16,202,27.6,4.85,4.03,2458,0.48,0.52,0.05,0.05,0.07,8.95,10.07,4.85,4.01,0.38,2.78,,2.83,0.23,0.02,0.15,38.89,,1.435,0.305,10.1,0.4,2.8,2.8,1.02,1.39,28.1,38.95,34.65,1.62,0.55,4.36,0.6,0.54,0.291,0.348,0.403,0.75,13.96,,1.21,
1920,16,208,27.7,4.36,3.46,2468,0.43,0.57,0.07,0.08,0.06,9.02,9.43,4.36,3.47,0.26,2.76,,2.95,0.22,0.02,0.17,37.73,,1.352,0.293,9.4,0.3,2.8,2.9,1.07,1.42,28.1,38.4,34.11,1.46,0.51,3.79,0.7,0.63,0.276,0.335,0.372,0.707,12.68,,1.23,
1919,16,197,27.6,3.87,3.07,2236,0.42,0.58,0.08,0.09,0.04,8.99,8.77,3.87,3.06,0.2,2.67,,3.07,0.24,0.02,0.17,37,,1.272,0.282,8.8,0.2,2.7,3.1,1.15,1.42,28.1,37.6,33.4,1.31,0.47,3.32,0.93,,0.263,0.322,0.348,0.67,11.62,,1.22,
1918,16,203,27.2,3.63,2.77,2032,0.37,0.63,0.1,0.1,0.06,9.05,8.4,3.63,2.78,0.12,2.82,,2.89,0.23,0.01,0.15,37.27,,1.239,0.273,8.3,0.1,2.8,2.9,1.03,1.51,28.1,37.46,33.13,1.14,0.44,3.06,0.99,,0.254,0.317,0.325,0.642,10.77,,1.2,
1917,16,175,26.7,3.58,2.68,2494,0.45,0.55,0.1,0.1,0.07,9.02,8.16,3.58,2.69,0.13,2.76,,3.46,0.23,0.02,0.17,36.53,,1.21,0.272,8.1,0.1,2.8,3.5,1.25,1.5,27.3,37.21,32.9,1.17,0.46,3.04,0.97,,0.249,0.311,0.324,0.635,10.66,,1.23,
1916,16,187,26.6,3.56,2.72,2494,0.47,0.53,0.09,0.1,0.07,9.03,8.14,3.56,2.73,0.15,2.84,,3.82,0.25,0.02,0.2,36.48,,1.217,0.274,8.1,0.2,2.8,3.8,1.34,1.52,27.3,37.15,32.85,1.2,0.46,3.02,1.1,0.34,0.248,0.312,0.326,0.638,10.71,,1.13,
1915,24,285,26.7,3.81,2.9,3728,0.45,0.55,0.09,0.1,0.06,8.94,8.17,3.81,2.88,0.17,2.98,,3.79,0.27,0.02,0.2,36.34,,1.248,0.277,8.2,0.2,3,3.8,1.27,1.58,27.3,37.15,32.65,1.22,0.47,3.21,1.1,0.55,0.25,0.318,0.332,0.65,10.85,,1.19,
1914,24,264,26.5,3.86,2.91,3760,0.45,0.55,0.09,0.09,0.06,8.91,8.27,3.86,2.88,0.19,2.96,,3.98,0.27,0.01,0.21,36.38,,1.261,0.279,8.4,0.2,3,4,1.34,1.71,27.2,37.03,32.6,1.23,0.46,3.25,1.22,0.36,0.254,0.321,0.337,0.659,11,,1.11,
1913,16,229,26.3,4.04,3.07,2468,0.46,0.53,0.08,0.08,0.07,8.94,8.52,4.04,3.05,0.19,2.97,,3.83,0.28,0.02,0.21,37.12,,1.285,0.284,8.6,0.2,3,3.9,1.29,1.64,26.8,37.28,32.91,1.24,0.51,3.38,1.32,0.5,0.259,0.325,0.345,0.67,11.36,,1.03,
1912,16,238,26.5,4.52,3.37,2464,0.41,0.58,0.06,0.07,0.05,8.88,8.92,4.52,3.32,0.18,3.11,,3.97,0.29,0.02,0.23,37.22,,1.355,0.3,9,0.2,3.2,4,1.28,1.81,26.8,37.93,33.3,1.36,0.55,3.81,1.38,0.54,0.269,0.337,0.359,0.695,11.94,,1.12,
1911,16,213,26.8,4.51,3.36,2474,0.42,0.58,0.07,0.07,0.06,8.91,8.85,4.51,3.33,0.21,3.2,,4,0.34,0.02,0.22,37,,1.352,0.297,8.9,0.2,3.2,4,1.25,1.83,27.1,38.09,33.25,1.32,0.53,3.77,1.38,,0.266,0.336,0.357,0.693,11.87,,1.17,
1910,16,202,27.1,3.84,2.77,2498,0.38,0.62,0.09,0.1,0.05,8.96,8.14,3.84,2.76,0.14,3,,3.88,0.32,0.01,0.22,35.97,,1.243,0.279,8.2,0.1,3,3.9,1.3,1.78,27.3,37.31,32.65,1.13,0.46,3.15,1.31,,0.249,0.318,0.326,0.644,10.63,,1.21,
1909,16,203,27,3.55,2.53,2482,0.35,0.65,0.11,0.11,0.05,8.95,7.91,3.55,2.52,0.1,2.68,,3.77,0.31,0.02,0.23,35.69,,1.184,0.272,8,0.1,2.7,3.8,1.4,1.81,27.6,36.89,32.48,1.07,0.4,2.87,1.23,,0.244,0.306,0.311,0.618,10.11,,1.26,
1908,16,172,27.9,3.38,2.37,2488,0.33,0.67,0.12,0.12,0.04,8.97,7.73,3.38,2.36,0.11,2.46,,3.66,0.31,0.01,0.19,35.71,,1.137,0.267,7.8,0.1,2.5,3.7,1.49,1.7,28.6,36.59,32.43,1.01,0.4,2.74,1.09,,0.239,0.297,0.305,0.602,9.89,,1.3,
1907,16,161,28.1,3.53,2.5,2466,0.26,0.74,0.11,0.12,0.04,8.85,7.97,3.53,2.46,0.1,2.56,,3.53,0.31,0.01,0.19,35.48,,1.19,0.326,8.1,0.1,2.6,3.6,1.38,1.72,28.7,36.6,32.56,1,0.39,2.87,1.13,,0.245,0.305,0.309,0.614,10.07,,1.06,
1906,16,155,27.9,3.62,2.66,2456,0.22,0.78,0.11,0.12,0.04,8.84,8.02,3.62,2.61,0.11,2.55,,3.7,0.31,0.01,0.19,35.47,,1.196,0.316,8.2,0.1,2.6,3.8,1.45,1.73,28.6,36.65,32.6,1.07,0.41,2.96,1.22,,0.247,0.306,0.314,0.621,10.25,,1.1,
1905,16,144,27.6,3.9,2.82,2474,0.2,0.8,0.09,0.09,0.02,8.88,8.17,3.9,2.78,0.14,2.54,,3.87,0.34,0.01,0.22,35.96,,1.205,0.315,8.3,0.1,2.6,3.9,1.53,1.83,28.7,37.09,33.08,1.16,0.45,3.21,1.19,,0.248,0.307,0.323,0.63,10.68,,1.01,
1904,16,129,27.5,3.73,2.66,2498,0.12,0.88,0.1,0.1,0.02,8.81,8.15,3.73,2.6,0.13,2.3,,3.72,0.32,0.02,0.2,36.04,,1.186,0.297,8.3,0.1,2.3,3.8,1.62,1.88,28.5,36.62,33.02,1.14,0.46,3.04,1.11,,0.247,0.301,0.321,0.622,10.61,,0.89,
1903,16,141,27.2,4.44,3.11,2228,0.14,0.86,0.07,0.08,0.02,8.82,8.87,4.44,3.05,0.15,2.44,,3.58,0.34,0.01,0.2,36.64,,1.284,0.32,9.1,0.2,2.5,3.6,1.46,2.1,28.4,37.65,33.86,1.36,0.52,3.66,1.23,,0.262,0.317,0.346,0.664,11.73,,0.9,
1902,16,160,26.6,4.43,3.17,2234,0.12,0.87,0.07,0.07,0.01,8.83,9.11,4.43,3.11,0.16,2.44,,2.98,0.34,0.01,0.18,36.96,,1.307,0.339,9.3,0.2,2.5,3,1.22,2.13,28.3,37.85,34.15,1.27,0.44,3.7,1.2,,0.267,0.322,0.344,0.665,11.73,,0.82,
1901,16,139,26.4,4.99,3.49,2220,0.14,0.86,0.05,0.06,0.02,8.8,9.44,4.99,3.41,0.2,2.46,,3.14,0.39,0.01,0.21,37.62,,1.352,0.352,9.7,0.2,2.5,3.2,1.28,2.4,28.1,38.43,34.73,1.32,0.56,4.12,1.28,,0.272,0.327,0.36,0.686,12.49,,0.75,
1900,8,70,27.1,5.21,3.69,1138,0.18,0.82,0.06,0.06,0.01,8.71,9.6,5.21,3.58,0.22,2.67,,2.37,0.47,0.01,0.19,37.54,,1.408,,9.9,0.2,2.8,2.4,0.89,2.42,28.5,38.21,34.39,1.26,0.53,4.33,1.48,,0.279,0.339,0.366,0.705,12.59,,0.71,
1899,12,119,26.3,5.24,3.85,1846,0.13,0.86,0.05,0.05,0.02,8.61,9.61,5.24,3.68,0.19,2.7,,2.09,0.48,0.03,0.2,37.28,,1.43,,10,0.2,2.8,2.2,0.78,2.41,27.9,37.93,34.04,1.19,0.55,4.33,1.45,,0.282,0.343,0.366,0.71,12.47,,0.72,
1898,12,113,25.8,4.96,3.6,1842,0.13,0.87,0.05,0.05,0.01,8.66,9.2,4.96,3.47,0.16,2.76,,2.31,0.48,0.01,0.21,37.3,,1.382,,9.6,0.2,2.9,2.4,0.83,2.38,28.1,37.98,34.02,1.13,0.49,4.14,1.12,,0.271,0.334,0.347,0.681,11.8,,0.73,
1897,12,98,25.6,5.88,4.3,1622,0.16,0.84,0.03,0.03,0.02,8.63,10.19,5.88,4.13,0.23,2.92,,2.3,0.46,0,0.25,38.35,,1.518,,10.6,0.2,3,2.4,0.79,2.48,28.1,39.01,34.93,1.43,0.59,4.94,1.67,,0.292,0.354,0.386,0.74,13.49,,0.7,
1896,12,108,25.8,6.04,4.36,1584,0.18,0.82,0.03,0.04,0.02,8.69,10.19,6.04,4.21,0.26,3.06,,2.22,0.4,0,0.26,38.6,,1.526,,10.6,0.3,3.2,2.3,0.73,2.58,28.1,39.29,35.09,1.37,0.64,5.08,1.93,,0.29,0.354,0.387,0.742,13.59,,0.73,
1895,12,105,25.4,6.58,4.77,1598,0.19,0.81,0.03,0.03,0.03,8.64,10.53,6.58,4.58,0.31,3.2,,2.27,0.42,0,0.25,39.2,,1.59,,11,0.3,3.3,2.4,0.71,2.89,27.9,39.78,35.54,1.51,0.62,5.51,1.81,,0.296,0.361,0.4,0.761,14.2,,0.62,
1894,12,115,25.3,7.38,5.33,1598,0.19,0.81,0.02,0.02,0.02,8.66,11.14,7.38,5.12,0.39,3.67,,2.09,0.38,0,0.31,40.12,,1.712,,11.6,0.4,3.8,2.2,0.57,3.04,27.8,40.8,36.03,1.72,0.81,6.25,1.97,,0.309,0.379,0.435,0.814,15.68,,0.72,
1893,12,98,25.2,6.57,4.66,1570,0.18,0.82,0.03,0.03,0.02,8.83,10.14,6.57,4.57,0.29,3.91,,2.13,0.41,0,0.33,40.59,,1.591,,10.3,0.3,4,2.2,0.54,2.92,27.8,40.56,36.24,1.4,0.67,5.45,1.75,,0.28,0.356,0.379,0.736,13.75,,,
1892,12,92,25.3,5.09,3.28,1842,0.12,0.88,0.05,0.05,0.01,8.74,8.49,5.09,3.19,0.23,3.35,,3.25,0.3,0,0.33,38.37,,1.355,,8.7,0.2,3.5,3.3,0.97,3.03,27.5,38.34,34.68,1.09,0.55,4,1.74,,0.245,0.317,0.328,0.644,11.36,,,
1891,17,126,24.7,5.7,3.53,2218,0.14,0.86,0.04,0.04,0.02,8.77,8.89,5.7,3.44,0.26,3.62,,3.45,0.44,0,0.46,39.12,,1.426,,9.1,0.3,3.7,3.5,0.95,3.18,27.3,39.08,35.01,1.19,0.57,4.49,1.88,,0.254,0.331,0.343,0.674,12.01,,,
1890,25,186,24.6,6.02,3.88,3222,0.1,0.89,0.04,0.04,0.01,8.74,9.14,6.02,3.77,0.24,3.64,,3.4,0.42,0.01,0.5,39.26,,1.461,,9.4,0.2,3.7,3.5,0.93,3.32,27,39.2,35.15,1.31,0.59,4.58,2.13,,0.26,0.337,0.351,0.688,12.34,,,
1889,16,122,24.6,5.96,3.93,2180,0.11,0.89,0.04,0.04,0.02,8.72,9.22,5.96,3.81,0.31,3.36,,3.53,0.36,0,0.52,38.77,,1.442,,9.5,0.3,3.5,3.6,1.05,3.42,26.9,38.79,35.08,1.38,0.5,4.69,2.21,,0.264,0.334,0.358,0.692,12.55,,,
1888,16,117,24.2,4.87,2.95,2184,0.04,0.96,0.07,0.07,0.01,8.82,8.24,4.87,2.89,0.24,2.16,,3.77,0.38,0,0.61,37.11,,1.18,,8.4,0.2,2.2,3.8,1.74,3.44,26.8,37.08,34.54,1.12,0.48,3.68,2.41,,0.239,0.291,0.32,0.611,11.04,,,
1887,16,130,24.4,6.34,4.17,2116,0.04,0.95,0.03,0.03,0.01,8.68,9.56,6.34,4.03,0.29,2.86,,2.8,0.35,0,0.61,38.48,,1.43,,9.9,0.3,3,2.9,0.98,3.81,26.7,38.53,35.32,1.46,0.66,4.91,3,,0.271,0.332,0.374,0.705,13.2,,,
1886,16,131,24.9,5.47,3.37,2104,0.04,0.95,0.05,0.05,0.01,8.69,8.54,5.47,3.25,0.2,2.65,,4.3,0.15,0,0.7,37.53,,1.288,,8.8,0.2,2.7,4.5,1.62,3.77,26.8,37.45,34.66,1.27,0.55,3.92,1.54,,0.246,0.303,0.332,0.634,11.5,,,
1885,16,108,24.6,5.22,3.03,1780,0.04,0.96,0.06,0.06,0.01,8.83,8.6,5.22,2.98,0.18,1.98,,3.77,0.19,0.02,0.68,37.42,,1.198,,8.8,0.2,2,3.8,1.9,3.94,26.6,37.41,35.24,1.23,0.54,3.64,,,0.244,0.288,0.325,0.613,11.46,,,
1884,33,204,24.2,5.42,3.11,3088,0.06,0.93,0.06,0.06,0.01,8.73,8.61,5.42,3.01,0.22,1.6,,4.8,0.15,0,0.71,37.37,,1.17,,8.9,0.2,1.7,5,3,4.71,25.4,37.15,35.4,1.3,0.5,--,,,0.243,0.279,0.327,0.606,11.58,,,
1883,16,86,25.2,5.75,3.22,1570,0.08,0.92,0.05,0.05,0.01,8.84,9.44,5.75,3.16,0.15,1.48,,3.37,,0,0.5,38.24,,1.236,,9.6,0.2,1.5,3.4,2.27,4.88,26.4,38.21,36.73,1.58,0.6,--,,,0.257,0.286,0.345,0.631,12.69,,,
1882,14,69,25.3,5.33,2.8,1144,0.05,0.94,0.06,0.06,0,8.87,9.03,5.33,2.76,0.16,1.39,,2.92,,0,0.52,37.87,,1.175,,9.2,0.2,1.4,3,2.1,4.75,25.7,37.77,36.38,1.41,0.54,--,,,0.248,0.276,0.33,0.606,12,,,
1881,8,29,23.6,5.1,2.77,672,0.06,0.94,0.08,0.08,0,8.91,9.42,5.1,2.75,0.11,1.54,,2.65,,0.01,0.51,37.81,,1.23,,9.5,0.1,1.6,2.7,1.72,4.14,25.7,37.81,36.28,1.59,0.45,3.7,,,0.26,0.29,0.338,0.628,12.27,,,
1880,8,32,22.7,4.69,2.37,680,0.11,0.89,0.07,0.08,0.02,8.87,8.74,4.69,2.34,0.09,1.09,,2.92,,0,0.43,36.83,,1.108,,8.9,0.1,1.1,3,2.69,4.34,24.8,36.83,35.74,1.44,0.48,3.27,,,0.245,0.267,0.32,0.587,11.42,,,
1879,8,25,23,5.31,2.5,642,0.05,0.95,0.07,0.07,0,9.03,9.61,5.31,2.5,0.09,0.79,,2.87,,0,0.57,38.42,,1.152,,9.6,0.1,0.8,2.9,3.63,4.87,24.7,38.42,37.62,1.49,0.49,3.67,,,0.255,0.271,0.329,0.599,12.36,,,
1878,6,21,22.2,5.17,2.3,368,0.04,0.96,0.07,0.07,0,9.03,9.61,5.17,2.31,0.06,0.99,,2.94,,0,0.64,38.09,,1.174,,9.6,0.1,1,2.9,2.97,4.83,24.7,38.07,37.08,1.31,0.36,3.62,,,0.259,0.279,0.319,0.598,11.83,,,
1877,6,19,24.2,5.67,2.81,360,0.09,0.91,0.06,0.06,0.01,9,10.29,5.67,2.81,0.07,0.96,,2.02,,0,0.56,38.91,,1.25,,10.3,0.1,1,2,2.1,5.16,25.9,38.92,37.96,1.2,0.57,3.92,,,0.271,0.289,0.338,0.627,12.82,,,
1876,8,34,24.4,5.9,2.31,520,0.09,0.91,0.09,0.09,0.03,9.11,10.27,5.9,2.34,0.08,0.65,,1.13,,0,0.36,39.49,,1.197,,10.1,0.1,0.6,1.1,1.75,6.01,25.3,39.34,38.69,1.22,0.35,3.82,,,0.265,0.277,0.321,0.598,12.41,,,
1875,13,42,24.3,6.14,2.23,690,0.1,0.9,0.07,0.07,0.03,8.97,9.87,6.14,2.22,0.06,0.36,,0.98,,0.01,0.48,39.25,,1.141,,9.9,0.1,0.4,1,2.71,6.96,24.7,39.25,38.89,1.22,0.4,3.93,0.91,0.46,0.254,0.261,0.31,0.571,12.05,0.21,,
1874,8,17,24.7,7.48,2.19,464,0.05,0.95,0.03,0.03,0.01,8.99,11.26,7.48,2.19,0.09,0.51,,0.77,,0,0.27,41.69,,1.31,,11.3,0.1,0.5,0.8,1.5,8.14,25,41.69,41.17,1.37,0.42,4.85,0.52,0.21,0.273,0.282,0.333,0.616,13.72,0.23,,
1873,9,25,21.3,8.99,3.4,398,0.09,0.91,0.02,0.02,0.02,9.01,12.38,8.99,3.4,0.12,0.84,,0.7,,0,0.31,43.45,,1.468,,12.4,0.1,0.8,0.7,0.83,8.02,24,43.45,42.61,1.43,0.53,5.86,0.79,0.33,0.29,0.304,0.357,0.661,15.22,0.31,,
1872,11,21,21.1,9.26,3.65,366,0.11,0.89,0.03,0.03,0.02,8.98,12.2,9.26,3.64,0.1,0.72,,0.72,,0.01,0.55,43.52,,1.439,,12.2,0.1,0.7,0.7,1.01,7.5,23.4,43.52,42.8,1.59,0.4,5.83,0.73,0.37,0.285,0.297,0.348,0.645,14.89,0.27,,
1871,9,19,24.3,10.47,4.22,254,0.09,0.91,0.02,0.02,0.02,8.86,12.21,10.47,4.15,0.19,1.55,,0.69,,0.01,0.82,44.15,,1.553,,12.4,0.2,1.6,0.7,0.45,7.61,23.8,44.15,42.61,1.71,0.94,7.02,1.74,0.48,0.287,0.312,0.384,0.695,16.35,0.29,,
